Type_x,ID,SedRed,Cost,Duck,Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type_y
ICMO,943,10.671,111167.597,0,1,897,22269,22254,0,0,1051.17075861,15730,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,3601.0,161879.0,2,943,847,4460300.00771,390.059390624,379.0,405.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,17840.0000474,1049.07415524,1049.07415524,1,1,1,1,1,1,1,1,4,ICMO
ICMO,944,18.139,188999.318,0,1,901,22254,22240,0,0,1787.12648259,15731,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,4054.0,160763.0,1,944,851,4262999.93896,384.322988506,378.0,394.0,850,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,13619.9996469,1785.86280599,1785.86280599,1,1,1,1,1,1,1,1,4,ICMO
ICMO,945,14.315,149123.954,0,1,900,22240,22242,0,0,1410.07581501,15732,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,15123.0,159452.0,3,945,850,4459300.12161,387.26434642199996,377.0,399.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,16140.0001666,1411.63838994,1411.63838994,1,1,1,1,1,1,1,1,4,ICMO
ICMO,946,2.866,29935.264,0,1,900,22242,22244,0,0,283.059763863,15733,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,39926.0,158576.0,1,946,850,4459300.12161,387.26434642199996,377.0,399.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,16140.0001666,282.417744943,282.417744943,1,1,1,1,1,1,1,1,4,ICMO
ICMO,947,20.893,217722.155,0,1,900,22244,22270,0,0,2058.72186991,15734,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,44855.0,157471.0,2,947,850,4459300.12161,387.26434642199996,377.0,399.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,16140.0001666,2061.62887208,2061.62887208,1,1,1,1,1,1,1,1,4,ICMO
ICMO,948,7.41,77232.545,0,2,873,22271,22272,0,0,730.2900794210001,15735,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,71684.0,156211.0,2,948,823,7904499.98289,379.66102852800003,362.0,395.0,683,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,21980.000044,733.0129012489999,733.0129012489999,1,1,1,1,1,1,1,1,4,ICMO
ICMO,949,6.516,67915.325,0,3,1046,19059,22289,0,0,642.1889619980001,15751,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,27.0,168408.0,1,949,996,5949299.900150001,393.256063739,387.0,404.0,972,Upper Cobb,Le Sueur,LS AB UG,0.06,LES,45,1,26,UL,1,AB,17920.0002512,640.012159323,640.012159323,1,1,1,1,1,1,1,1,4,ICMO
ICMO,950,10.588,110296.513,0,3,1046,22289,22291,0,0,1042.93402158,15753,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,6061.0,167562.0,1,950,996,5949299.900150001,393.256063739,387.0,404.0,972,Upper Cobb,Le Sueur,LS AB UG,0.06,LES,45,1,26,UL,1,AB,17920.0002512,1044.23841568,1044.23841568,1,1,1,1,1,1,1,1,4,ICMO
ICMO,951,3.097,32352.806,0,2,1022,22291,22293,0,0,305.91939165900004,15755,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,6464.0,166817.0,2,951,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,307.290700068,307.290700068,1,1,1,1,1,1,1,1,4,ICMO
ICMO,952,9.652000000000001,100551.68,0,2,1022,22293,22295,0,0,950.78951526,15757,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,8210.0,166146.0,1,952,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,950.19985967,950.19985967,1,1,1,1,1,1,1,1,4,ICMO
ICMO,953,5.763,60050.325999999994,0,2,1022,22295,22297,0,0,567.8196555119999,15759,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,10598.0,165279.0,1,953,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,567.256903502,567.256903502,1,1,1,1,1,1,1,1,4,ICMO
ICMO,954,9.392999999999999,97859.677,0,2,1022,22297,22299,0,0,925.33465954,15761,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,271.0,164508.0,1,954,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,926.7657912980001,926.7657912980001,1,1,1,1,1,1,1,1,4,ICMO
ICMO,955,52.49100000000001,546899.907,0,2,1022,22299,22251,0,0,5171.33774763,15762,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,22588.0,161324.0,1,955,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,5185.78552319,5185.78552319,1,1,1,1,1,1,1,1,4,ICMO
