Type,ID,SedRed,Cost,Duck
WCMO,322,2.068,599.311,2.534
WCMO,323,249.232,262101.593,27.631
WCMO,324,30.044,26884.599,9.688
WCMO,325,24.823,27322.984,8.788
WCMO,326,15.609,25274.579,6.003
WCMO,327,7.463,1835.574,4.128
WCMO,328,2.703,11509.601,2.493
WCMO,329,2.829,5796.449,2.915
WCMO,330,148.032,211400.111,21.066
WCMO,331,3.664,979.113,3.108
WCMO,332,7.457,33398.371,4.455
WCMO,333,4.549,11190.974,3.661
WCMO,334,2.564,10994.695,2.61
WCMO,335,17.395,27572.273,6.221
WCMO,336,3.92,27800.721,2.944
WCMO,337,16.692,54479.008,6.667
WCMO,338,3.671,17240.191,3.122
WCMO,339,2.928,16000.416,2.62
WCMO,340,3.138,6072.335,2.713
WCMO,341,3.374,6483.312,2.813
WCMO,342,237.945,375484.807,23.886
WCMO,343,3.798,1051.015,3.183
WCMO,344,2.833,6098.706,2.758
WCMO,345,4.51,6749.601,3.467
WCMO,346,15.558,24189.923,6.372
WCMO,347,5.169,1113.284,3.286
WCMO,348,6.599,8548.858,3.939
WCMO,349,9.958,8152.016,4.569
WCMO,350,28.653,14096.493,7.743
WCMO,351,17.426,19024.12,6.745
WCMO,352,77.134,91282.533,12.743
WCMO,353,11.634,15698.46,4.933
WCMO,354,2.773,11076.506,2.403
WCMO,355,3.054,16449.556,2.52
WCMO,356,3.264,12074.123,2.771
WCMO,357,5.862,12784.353,3.495
WCMO,358,23.119,4993.192,6.976
WCMO,359,3.504,754.326,2.706
WCMO,360,2.892,738.982,2.733
WCMO,361,9.478,66897.881,5.309
WCMO,362,32.143,47595.928,9.794
WCMO,363,12.181,18959.973,5.393
WCMO,364,52.667,27281.382,11.234
WCMO,365,3.287,7009.605,3.063
WCMO,366,103.956,69207.379,15.799
WCMO,367,3.125,5723.741,2.722
WCMO,368,623.935,462357.523,39.968
WCMO,369,9.951,2307.339,4.858
WCMO,370,36.367,23462.094,9.315
WCMO,371,23.537,14157.733,8.194
WCMO,372,239.335,233806.673,26.325
WCMO,373,2.419,5618.19,2.493
WCMO,382,235.521,303876.893,23.07
WCMO,383,2.397,6062.583,2.355
WCMO,384,3.401,6482.819,2.799
WCMO,385,3.356,11487.723,2.784
WCMO,386,3.209,27126.321,2.722
WCMO,387,34.168,42537.236,8.885
WCMO,388,19.007,32515.972,6.637
WCMO,389,6.489,22200.196,3.859
WCMO,390,5.722,11939.909,3.622
WCMO,391,3.528,11538.204,2.852
WCMO,392,23.484,20435.481,7.374
WCMO,393,4.028,6756.543,3.016
WCMO,394,9.72,8297.126,4.714
WCMO,395,20.612,28764.81,8.343
WCMO,396,2.604,848.068,3.187
WCMO,397,9.564,2764.87,5.715
WCMO,398,7.867,8489.547,4.22
WCMO,399,10.081,2480.271,4.79
WCMO,400,4.005,7171.273,3.018
WCMO,401,2.458,604.259,2.369
WCMO,402,22.886,15169.315,7.227
WCMO,403,3.03,744.877,2.624
WCMO,404,41.301,23388.99,9.696
WCMO,405,27.528,27238.152,7.952
WCMO,406,3.464,16535.878,2.808
WCMO,407,2.647,11173.128,2.452
WCMO,420,13.133,13685.522,6.237
WCMO,421,32.075,12459.146,8.84
WCMO,422,4.36,11010.208,3.249
WCMO,423,6.891,6933.198,4.519
WCMO,424,42.511,70984.209,11.262
WCMO,425,84.233,29723.625,14.414
WCMO,426,99.226,56086.874,18.264
WCMO,427,3.21,840.239,3.095
WCMO,428,3.422,895.885,3.193
WCMO,429,11.945,14386.463,5.966
