NCMO ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L_AtanThta,height_m,arcMapA,SA_AtanTht,Load_pTex,loadTrap,Migration,Retreat,Erate,mean_Slope,aspect,VegComb10,probVeg,Prk,Hal,Pal,FPtrap,autoTEmeas,Ecode,Einterp,EextrapAll,VeMeas,VeAll,VeAll_Veg,Shape_Length,Shape_Area
646,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,23,11.77,509,276,29,24,0,9999,9999,28,SE,1,0.67,0,0,0,1,0,3,9999,0,0,25,25,117.1374009,508.761685
647,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,191,18.18,5773,3480,366,326,0,0.2,9999,31,SE,1,0.59,0,0,0,1,0,3,9999,0,0,313,313,680.8640053,5772.503727
648,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,33,3.66,189,120,13,6,0,9999,9999,32,E,0,0.37,0,0,0,1,0,2,9999,0,0,11,11,108.0017,189.00315
649,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,247,17.29,5243,4262,449,397,0,0.2,9999,39,SE,1,0.66,0,0,0,1,0,3,9999,0,0,384,384,775.5598194,5242.937017
650,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,53,3.69,333,195,21,9,0,9999,9999,30,W,1,0.62,0,0,0,1,0,3,9999,0,0,18,18,174.0023,333.00435
651,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,104,11.34,2003,1179,91,75,0,0.29,9999,30,E,1,0.57,0,1,0,1,0,3,9999,0,0,106,106,408.8723909,2002.565996
652,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,58,7.15,685,415,44,31,0,0.37,9999,31,NE,1,0.52,0,0,0,1,0,3,9999,0,0,37,37,218.3421791,685.1534154
653,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,58,4.26,486,248,26,14,0,0.35,9999,27,SE,1,0.47,0,0,0,1,0,3,9999,0,0,22,22,222.0017,486.0061499
654,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,128,12.3,2493,1569,204,171,0,9999,9999,32,NW,0,0.42,0,0,0,1,0,2,0.11,0,0,174,174,654.0054001,2493.0387
655,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,39,3.4,261,132,2,1,0,9999,9999,27,SE,0,0.41,0,1,0,1,0,2,9999,0,0,12,12,144.0018,261.0045
656,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,43,24.62,1688,1062,102,93,0,9999,9999,32,NW,1,0.41,0,0,0,1,0,2,0.08,0,0,87,87,200.6569176,1688.352602
657,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,94,34.42,4726,3235,281,265,0,9999,9999,34,E,0,0.46,0,0,0,1,0,2,0.07,0,0,240,240,462.2760788,4725.520808
658,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,179,9.93,2573,1774,130,104,0,9999,9999,35,W,1,0.95,0,0,1,1,0,3,9999,0,0,160,160,685.575961,2572.638976
659,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,18,6,186,105,11,7,0,0.24,9999,29,W,1,0.94,0,0,0,1,0,3,9999,0,0,9,9,77.12440576,186.0172997
660,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,100,8.47,1341,847,89,68,0,0.24,9999,32,NE,1,0.94,0,0,0,1,0,3,9999,0,0,76,76,462.0033001,1341.01215
661,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,43,9.43,807,407,43,34,0,0.04,9999,27,SW,0,0.94,0,0,0,1,0,3,9999,0,0,37,37,180.704858,807.2617042
662,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,21,3.5,171,75,8,3,0,0,9999,24,S,1,0.94,0,0,0,1,0,3,9999,0,0,7,7,96.00030002,171.00165
663,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,70,13.09,1533,917,97,82,0,0,9999,31,S,1,0.94,0,0,0,1,0,3,9999,0,0,83,83,264.15771,1532.747977
664,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,153,13.83,3267,2113,222,190,0,0.09,9999,33,SE,1,0.93,0,0,0,1,0,3,9999,0,0,190,190,549.2893351,3267.475606
665,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,102,11.86,1806,1204,127,105,0,0.09,9999,34,S,1,0.94,0,0,0,1,0,3,9999,0,0,108,108,327.1895024,1805.955754
666,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,93,13.29,1733,1231,130,110,0,0.26,9999,35,NE,1,0.76,0,0,0,1,0,3,9999,0,0,111,111,337.4935638,1733.05371
667,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,123,15.78,3018,1944,205,179,0,9999,9999,33,S,0,0.7,0,0,0,1,0,3,9999,0,0,175,175,514.8043181,3017.660956
668,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,44,21.12,1296,921,97,88,0,9999,9999,35,SW,0,0.54,0,0,0,1,0,3,9999,0,0,83,83,204.4222668,1296.357047
669,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,244,21.92,8598,5349,563,512,0,0.03,9999,32,SW,0,0.48,0,0,0,1,0,3,9999,0,0,481,481,811.2185483,8597.711656
670,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,58,17.95,1845,1034,109,97,0,9999,9999,29,NW,1,0.47,0,0,0,1,0,3,9999,0,0,93,93,232.3650271,1844.714515
671,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,71,19.8,2268,1411,149,134,0,9999,9999,32,NW,1,0.47,0,0,0,1,0,3,9999,0,0,127,127,305.8338168,2267.703001
672,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,17,4.05,108,69,7,4,0,9999,9999,32,NE,0,0.46,0,0,0,1,0,3,9999,0,0,6,6,66.0001,108.00045
673,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,66,17.31,1606,1141,120,106,0,9999,9999,35,E,0,0.45,0,0,0,1,0,3,9999,0,0,103,103,281.9879968,1606.026305
674,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,101,14.28,2115,1442,152,131,0,9999,9999,34,SE,0,0.45,0,0,0,1,0,3,9999,0,0,130,130,516.0038001,2115.024
675,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,22,3.85,135,86,11,5,0,9999,9999,32,SW,0,0.42,0,0,0,1,0,2,0.11,0,0,10,10,84.00100002,135.0006
676,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,44,6.61,423,291,38,27,0,9999,9999,34,NE,0,0.42,0,0,0,1,0,2,0.11,0,0,33,33,186.0009,423.00585
677,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,79,9,1116,708,50,39,0,9999,9999,32,SE,0,0.45,0,1,0,1,0,3,9999,0,0,64,64,312.0011001,1116.01335
678,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,32,5.59,270,181,9,6,0,9999,9999,34,SE,0,0.42,0,1,0,1,0,2,9999,0,0,16,16,126.0014,270.0042
679,COB,3,10,271,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,57,11.07,876,632,88,72,0,9999,9999,36,S,1,0.43,0,1,0,1,0,2,0.16,0,0,103,103,217.9806016,875.5122555
680,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,234,22.93,7166,5361,565,515,0,9999,9999,37,S,0,0.46,0,0,0,1,0,3,9999,0,0,482,482,779.6670421,7165.579956
681,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,37,8.4,506,312,21,16,0,9999,9999,32,NE,0,0.43,0,1,0,1,0,2,9999,0,0,28,28,170.7115544,506.4173535
682,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,89,28.99,4286,2594,237,220,0,0.25,9999,31,NE,0,0.44,0,0,0,1,0,2,0.08,0,0,202,202,354.268746,4285.839415
683,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,116,29.81,3605,3471,312,291,0,9999,9999,44,E,0,0.46,0,0,0,1,0,2,0.08,0,0,267,267,659.4428849,3604.601391
684,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,141,31.04,7122,4379,414,388,0,0.29,9999,32,SE,1,0.49,0,0,0,1,0,2,0.08,0,0,354,354,650.459417,7121.833169
685,,0,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,212,28.72,7164,6077,560,521,0,9999,9999,40,NW,0,0.42,0,0,0,1,0,2,0.08,0,0,478,478,798.6848353,7163.575032
686,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,79,17.23,2381,1357,73,65,0,0,9999,30,NW,0,0.44,0,0,0,1,0,2,0.05,0,0,62,62,303.9451853,2381.471677
687,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,83,12.8,1381,1056,69,59,0,9999,9999,37,NW,0,0.48,0,1,0,1,0,2,0.07,0,0,77,77,273.4120225,1381.384887
688,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,120,13.56,2128,1627,140,119,0,9999,9999,37,NE,0,0.47,0,0,0,1,0,2,0.07,0,0,120,120,459.8577211,2127.828882
792,,0,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,0,,4,82,51.34,5234,4209,2412,2318,0.16,0.96,0.52,39,S,0,0.47,0,1,0,1,0,1,0.1,0,2189,2189,2189,527.6541778,5233.616937
793,,0,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,38,16.92,1299,650,62,55,0.13,9999,9999,27,SE,0,0.45,0,1,0,1,0,2,0.1,0,0,65,65,403.6752505,1298.691681
794,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,10,2.68,70,26,3,1,0.13,9999,9999,20,SE,0,0.44,0,0,0,1,0,2,9999,0,0,2,2,41.11893405,70.27274999
795,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,67,5.54,1818,371,46,29,0.27,0.32,0.23,12,NW,0,0.41,0,1,0,1,0,1,0.1,0,84,84,84,234.425273,1817.498532
796,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,29,5.37,297,158,17,10,0.18,9999,9999,28,SE,0,0.4,0,0,0,1,0,2,9999,0,0,14,14,114.0009,297.00285
797,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,18,3.86,117,70,7,4,0.12,9999,9999,31,SE,0,0.39,0,0,0,1,0,2,9999,0,0,6,6,60.00020001,117.0009
798,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,44,7.54,513,334,10,7,0.01,0.08,0.04,33,SE,0,0.39,0,1,0,1,0,1,0.09,0,14,14,14,179.9999,513.0043499
799,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,143,9.69,2088,1387,37,29,0.03,0.03,0.02,34,SE,0,0.36,0,0,0,1,0,1,0.09,0,31,31,31,594.0004001,2088.0183
800,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,18,3.95,108,71,7,4,0.01,9999,9999,33,SW,0,0.34,0,0,0,1,0,2,9999,0,0,6,6,60.00020001,108.0009
801,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,26,4.14,153,108,16,8,0.09,0.21,0.13,35,SW,0,0.34,0,0,0,1,0,1,9999,0,14,14,14,90,153.0006
802,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,150,24.06,5248,3619,158,144,0.17,0,0.04,35,NE,0,0.39,0,1,0,1,0,1,0.1,0,154,154,154,871.04105,5247.699437
803,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,26,2.98,144,76,8,3,0.1,9999,9999,28,SE,0,0.32,0,0,0,1,0,2,9999,0,0,7,7,90.00070001,144.00075
804,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,33,29.56,1813,975,107,100,0.1,9999,9999,28,SW,1,0.3,0,0,0,1,0,2,0.09,0,0,92,92,298.4083493,1813.345549
805,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,130,25.37,5072,3292,362,333,0.1,9999,9999,33,SW,0,0.3,0,0,0,1,0,2,0.09,0,0,309,309,657.120144,5071.546049
806,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,82,27.72,3441,2277,309,287,0.28,0.12,0.13,33,E,0,0.34,0,1,0,1,0,1,0.09,0,296,296,296,590.5309855,3441.456546
807,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,34,8.13,441,279,42,32,0.28,0.12,0.13,32,S,0,0.32,0,0,0,1,0,1,9999,0,36,36,36,131.9999,441.0046499
808,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,55,11.42,1080,626,95,79,0.28,0.12,0.13,30,NE,0,0.34,0,0,0,1,0,1,0.1,0,81,81,81,258.0009,1080.00825
809,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,35,45.71,2527,1609,245,234,0.28,0.12,0.13,32,NW,1,0.31,0,0,0,1,0,1,0.09,0,209,209,209,247.161512,2527.333401
810,LES,3,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,44,6.91,522,301,32,23,0.47,9999,9999,30,SW,1,0.3,0,0,0,1,0,2,9999,0,0,27,27,168.0007,522.0046499
811,,0,6,119,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,44,7.92,605,352,24,18,0.11,9999,9999,30,E,0,0.29,0,1,0,1,0,2,0.1,0,0,33,33,154.5257395,605.1266371
812,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,114,21.84,3315,2498,76,69,0.12,0,0.03,37,S,0,0.29,0,1,0,1,0,1,0.09,0,75,75,75,619.0805795,3314.534033
813,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,136,9.21,1989,1252,106,83,0.29,0.07,0.11,32,NE,0,0.27,0,1,0,1,0,1,0.1,0,135,135,135,546.0037001,1989.01635
814,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,49,5.66,450,278,47,30,0.42,0.08,0.15,32,N,0,0.25,0,0,0,1,0,1,9999,0,40,40,40,167.9998,450.0038999
815,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,23,4.55,173,104,11,6,0.76,9999,9999,31,SW,1,0.25,0,0,0,1,0,2,9999,0,0,9,9,79.54559308,172.6106821
816,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,58,12.85,946,747,60,51,0.21,9999,9999,38,E,0,0.27,0,1,0,1,0,2,9999,0,0,67,67,214.7556941,946.0597586
817,LES,3,6,109,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,104,11.42,1699,1189,271,224,0.38,0.2,0.2,35,E,0,0.23,0,0,0,1,0,1,0.09,0,232,232,232,508.5457851,1698.80235
818,LES,3,6,100,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,209,12.51,3989,2619,181,152,0.09,0.11,0.08,33,S,0,0.25,0,1,0,1,0,1,0.07,0,203,203,203,828.3974294,3989.137032
819,,0,6,100,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,164,24.18,5467,3957,71,65,0.05,0.01,0.02,36,E,0,0.24,0,1,0,1,0,1,0.09,0,69,69,69,649.2959558,5467.420926
820,LES,3,6,100,,Le Sueur,Lower LeSueur,LS btwn gauges,,3,LES,4,285,40.83,17901,11620,238,226,0.05,0.01,0.02,33,E,1,0.25,0,0,0,1,0,1,0.09,0,203,203,203,1201.325769,17901.14085
823,COB,3,7,332,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,147,6.87,3605,1009,83,54,0,9999,9999,16,S,1,1,0,0,0,1,8,3,9999,0,0,71,71,466.0057442,3605.347896
824,COB,3,7,332,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,74,8.58,1064,639,52,37,0,0.2,9999,31,E,1,1,0,0,0,1,8,3,9999,0,0,45,45,286.2637224,1064.087815
825,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,34,3.23,234,109,9,3,0,0.01,9999,25,NE,1,1,0,0,0,1,8,3,9999,0,0,8,8,120.0007,234.00135
826,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,38,5.38,360,205,17,10,0,9999,9999,30,S,1,1,0,0,0,1,8,3,9999,0,0,14,14,143.9993,360.00135
827,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,257,10.14,4232,2602,213,157,0,0,9999,32,SE,1,1,0,0,0,1,8,3,9999,0,0,182,182,910.6228143,4232.167607
828,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,36,6.12,388,219,18,11,0,0.25,9999,29,E,1,1,0,0,0,1,8,3,9999,0,0,15,15,112.2574074,387.9008838
829,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,24,4.55,162,110,9,5,0,0.19,9999,34,E,1,1,0,0,0,1,8,3,9999,0,0,8,8,90.00040001,162.0006
830,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,68,9.18,1183,628,51,37,0,0.13,9999,28,NW,1,1,0,0,0,1,8,3,9999,0,0,44,44,252.808663,1182.819536
831,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,296,11.63,5754,3441,282,215,0,9999,9999,31,SW,1,1,0,0,0,1,8,3,9999,0,0,241,241,1164.763999,5754.308913
832,COB,3,34,368,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,15,124,8.46,1865,1050,86,60,0,0.25,9999,29,E,1,1,0,0,0,1,8,3,9999,0,0,74,74,402.2759426,1864.638286
