Type,ID,SedRed,Cost,Duck
NCMO,828,3.645,5278.961,0
NCMO,829,1.823,3519.307,0
NCMO,830,10.328,9971.37,0
NCMO,831,57.105,43404.788,0
NCMO,832,17.415,18183.087,0
NCMO,833,2.025,4252.496,0
NCMO,834,108.166,27567.906,0
NCMO,835,0,0,0
NCMO,836,589.337,30500.662,0
NCMO,837,42.196,9824.733,0
NCMO,838,88.285,18036.449,0
NCMO,839,12.984,12610.851,0
NCMO,841,1.948,3079.394,0
NCMO,842,0.65,3079.394,0
NCMO,843,40.248,25808.253,0
NCMO,844,3.895,3665.945,0
NCMO,845,8.439,7478.528,0
NCMO,846,141.516,13783.953,0
NCMO,847,47.831,27714.544,0
NCMO,848,4.422,5425.599,0
NCMO,849,5.628,7331.89,0
NCMO,850,17.686,10851.197,0
NCMO,851,64.174,33433.418,0
NCMO,852,6.019,6012.15,0
NCMO,853,2.408,5865.512,0
NCMO,854,18.177,10118.008,0
NCMO,855,65.565,15103.693,0
NCMO,856,11.036,3812.583,0
NCMO,857,18.177,12170.937,0
NCMO,858,6.492,4105.858,0
NCMO,859,56.477,10411.284,0
NCMO,860,5.829,4399.134,0
NCMO,861,18.781,19649.465,0
NCMO,862,6.477,3812.583,0
NCMO,863,319.918,38859.017,0
NCMO,864,0,0,0
NCMO,865,8.277,4839.047,0
NCMO,866,90.405,28007.82,0
NCMO,867,167.44,38565.741,0
NCMO,868,12.097,5718.874,0
NCMO,869,94.862,12904.126,0
NCMO,870,162.984,18183.087,0
NCMO,871,306.23,25954.89,0
NCMO,872,243.838,21995.67,0
NCMO,873,31.196,46190.907,0
NCMO,874,163.62,34459.883,0
NCMO,875,401.728,37392.639,0
NCMO,876,210.096,38419.103,0
NCMO,877,83.402,20529.292,0
NCMO,878,24.83,9091.544,0
NCMO,879,723.238,33726.694,0
NCMO,880,23.194,17303.26,0
NCMO,881,77.908,9971.37,0
NCMO,882,82.071,14223.866,0
NCMO,883,145.111,16863.347,0
NCMO,884,7.137,4985.685,0
NCMO,885,4.758,2932.756,0
NCMO,886,44.009,18623,0
NCMO,887,236.103,31673.765,0
NCMO,888,6.542,3226.032,0
NCMO,889,9.516,5718.874,0
NCMO,890,47.831,21555.756,0
NCMO,891,53.056,23315.41,0
NCMO,892,16.48,6305.425,0
NCMO,893,0,0,0
NCMO,894,4.422,3959.221,0
NCMO,895,31.753,14370.504,0
NCMO,896,4.02,4399.134,0
NCMO,897,14.47,12317.575,0
NCMO,898,14.872,8651.63,0
NCMO,899,9.647,8358.355,0
NCMO,900,5.628,4545.772,0
NCMO,901,8.441,8211.717,0
NCMO,902,26.126,14077.229,0
NCMO,903,18.489,10704.559,0
NCMO,904,42.203,18916.276,0
NCMO,905,52.654,28594.371,0
NCMO,906,5.628,4105.858,0
NCMO,907,22.107,12610.851,0
NCMO,908,8.621,3959.221,0
NCMO,909,32.637,6598.701,0
NCMO,910,16.626,4545.772,0
NCMO,911,164.412,15836.882,0
NCMO,912,4.311,6745.339,0
NCMO,913,116.998,15690.244,0
NCMO,914,4.311,19356.189,0
NCMO,915,40.642,6891.977,0
NCMO,916,66.504,11144.473,0
NCMO,917,61.578,8358.355,0
NCMO,918,52.957,8798.268,0
NCMO,919,37.563,17449.898,0
NCMO,920,274.636,13930.591,0
NCMO,921,189.043,25661.615,0
NCMO,922,168.107,22875.497,0
NCMO,923,19.089,3959.221,0
NCMO,924,43.72,7918.441,0
NCMO,925,20.321,21995.67,0
NCMO,926,13.548,6452.063,0
NCMO,927,142.245,39005.654,0
NCMO,928,31.405,17743.174,0
NCMO,929,3.695,5425.599,0
NCMO,930,14.779,5718.874,0
NCMO,931,177.959,26688.079,0
NCMO,932,17.858,13197.402,0
NCMO,933,11.7,4692.41,0
NCMO,934,99.14,15396.969,0
NCMO,935,59.731,15690.244,0
NCMO,936,29.558,10704.559,0
NCMO,937,27.71,11584.386,0
NCMO,938,3.079,3372.669,0
NCMO,939,52.957,5425.599,0
NCMO,940,25.573,13637.315,0
NCMO,941,14.868,5132.323,0
NCMO,942,12.489,6745.339,0
NCMO,943,45.199,31967.04,0
NCMO,944,32.115,10997.835,0
NCMO,945,10.111,7331.89,0
NCMO,946,13.679,4985.685,0
NCMO,947,60.067,20089.378,0
NCMO,948,10.111,5572.236,0
NCMO,949,17.842,13637.315,0
NCMO,950,19.626,6745.339,0
NCMO,951,52.93,8944.906,0
NCMO,952,131.433,16423.433,0
NCMO,953,12.489,7331.89,0
NCMO,954,82.666,8651.63,0
NCMO,955,54.12,17596.536,0
NCMO,956,19.626,12464.213,0
NCMO,1042,1.665,5132.323,0
NCMO,1043,4.875,13783.953,0
NCMO,1044,7.015,14663.78,0
NCMO,1045,1.154,3079.394,0
NCMO,1046,1.298,4105.858,0
NCMO,1047,4.182,9091.544,0
NCMO,1048,2.257,18036.449,0
NCMO,1049,0.575,5865.512,0
NCMO,1050,0.37,3959.221,0
NCMO,1051,1.308,7771.803,0
NCMO,1052,2.378,9971.37,0
NCMO,1053,1.665,5865.512,0
NCMO,1054,2.14,9971.37,0
NCMO,1055,1.189,4252.496,0
NCMO,1056,6.658,18623,0
NCMO,1057,3.21,7918.441,0
NCMO,1058,3.092,7625.166,0
NCMO,1059,1.562,4839.047,0
