Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
3790,LES,3,7,228,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,3027.976563,27251.78906,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2.5,silty clay loam,5,Marna,0.28,0.28,0.1979603,0.1989704,628.5473633,602.0664063,238B,83,1452,690.3835481,GBER_CONUS_wet_poly,417.1475525
3791,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,5327.96582,47951.69238,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0,None,6.166666667,loam,5,Lester,0.28,0.28,0.3167258,0.4964962,2533.619873,2643.506104,106C,78,1452,323.7976829,GBER_CONUS_wet_poly,157.1009064
3792,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,21622.24805,194600.2324,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.833333333,silty clay loam,5,Webster,0.2666667,0.2666667,0.1926033,0.4292754,9283.94043,9275.526367,86,89,1452,685.3523406,GBER_CONUS_wet_poly,207.3260956
3793,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,8149.007324,73341.06592,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0,None,4.75,loam,5,Lester,0.28,0.28,0.2518207,0.2565018,2119.217773,2088.803223,211,78,1452,192.8923214,GBER_CONUS_wet_poly,304.0914307
3794,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,6256.10791,56304.97119,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,silty clay,5,Lura,0.28,0.28,0.5680508,0.1486709,939.3025513,929.4608154,211,84,1452,1052.029149,GBER_CONUS_wet_poly,565.0064697
3795,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,17986.8418,161881.5762,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,3,silty clay loam,5,Marna,0.28,0.28,0.3969658,0.790048,14270.63672,14200.77344,238B,82,1452,387.6154824,GBER_CONUS_wet_poly,103.7911606
3796,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,14880.72656,133926.5391,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,0,None,2.125,clay loam,4,Kilkenny,0.215,0.215,0.708797,1.5923766,23216.85156,23679.51172,211,76,1452,0,GBER_CONUS_wet_poly,47.7274017
3797,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,44797.91797,403181.2617,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.125,silty clay loam,5,Webster,0.27,0.27,0.1764854,0.9058366,40575.13672,40551.70313,211,90,1452,667.4730879,GBER_CONUS_wet_poly,99.3556671
3806,LES,3,7,228,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,5201.229492,46811.06543,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.0643012,0.4477169,2393.494629,2327.09375,110,87,11224,476.9920781,GBER_CONUS_wet_poly,194.3192291
3807,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,3012.582764,27113.24487,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.75,silty clay loam,5,Marna,0.28,0.28,0.4785447,0.4038048,1177.494751,1215.668457,230,91,6379,643.9970345,GBER_CONUS_wet_poly,225.3564148
3808,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,141508.4844,1273576.359,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.7,silty clay loam,4.4,Marna,0.228,0.228,0.2016312,1.0947694,154828.8438,154814.1406,238B,84,6379,465.8364758,GBER_CONUS_wet_poly,76.7284927
3809,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,5929.754883,53367.79395,"Developed, Medium Intensity",Prime farmland if drained,Poorly drained,All Hydric,1,None,1.333333333,silty clay loam,5,Marna,0.28,0.28,3.0448411,0.7485422,4547.393555,4435.596191,230,88,6379,668.1614483,GBER_CONUS_wet_poly,117.5618439
3810,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,10093.20508,90838.8457,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,silty clay,5,Lura,0.28,0.28,0.0132125,0.2838869,2828.36499,2863.417725,211,79,908,672.2898686,NCED easement_GBERB,278.2798462
3811,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,3409.804688,30688.24219,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,silty clay,5,Lura,0.28,0.28,0.1990795,0.1975786,688.1661987,673.2547607,211,79,908,546.7560806,NCED easement_GBERB,399.8409119
3812,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,3743.479492,33691.31543,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1,Frequent,0.75,silt loam,5,Barbert,0.28,0.28,0.0417685,0.1130052,411.9039917,422.75,319,82,908,598.3116944,NCED easement_GBERB,725.6303101
3813,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,4575.194336,41176.74902,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Waldorf,0.28,0.28,0.4865303,0.1564241,734.8804321,715.1932983,229,81,908,59.77672928,NCED easement_GBERB,517.8230591
3814,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,26083.53516,234751.8164,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Waldorf,0.28,0.28,0.4100199,0.3348629,8733.892578,8728.566406,211,83,962,477.3047875,NCED easement_GBERB,247.8626709
3815,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,20424.55273,183820.9746,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.833333333,silty clay loam,5,Waldorf,0.28,0.28,0.2852606,0.2967104,6032.419434,6056.133301,211,81,962,131.088726,NCED easement_GBERB,272.9934692
3816,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,7668.509766,69016.58789,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Waldorf,0.28,0.28,0.1595132,0.2782353,2118.483887,2132.222412,211,83,962,711.0995044,NCED easement_GBERB,298.3086243
3817,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,142722.6719,1284504.047,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1.071428571,silty clay,5,Lura,0.2685714,0.2685714,0.3582901,0.4196512,59689.5,59853.75,211,86,962,23.98408335,NCED easement_GBERB,204.9321136
3818,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,8116.803223,73051.229,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Waldorf,0.28,0.28,0.3717508,0.4126304,3308.883301,3347.006348,211,83,962,94.94398953,NCED easement_GBERB,201.1485138
3819,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,249054.4063,2241489.656,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.833333333,silty clay loam,5,Minnetonka,0.28,0.28,0.2129983,0.5335932,133250.5,132804.7969,364,80,962,467.9716113,NCED easement_GBERB,149.9269409
3820,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,6389.446777,57505.021,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.091594,0.2617821,1675.143311,1671.521851,211,84,962,972.516814,NCED easement_GBERB,320.8776245
