Site_ID,SedRed,Cost,NEAR_FID,Cluster_size,NEAR_DIST,area_m2,Sedrank,NEARrank,bcr
13879,25.322,4142.565,1622,1,452.1705662,21583.5332,1.0,1.0,0.00611263794291701
18127,5.301,6138.616,1850,10,1370.965431,3787.08252,10.0,9.0,0.0008635496991504275
18517,5.541,6640.723000000001,1850,10,428.4399305,4007.783691,9.0,4.0,0.0008343970980268262
18129,8.625,7058.568,1850,10,1186.26869,6846.878906,8.0,8.0,0.0012219192334762517
18133,10.427,7557.656999999997,1850,10,345.00244360000005,8506.866211,7.0,2.0,0.00137966038945668
18521,11.827,7945.054,1850,10,415.3870941,9795.363281,6.0,3.0,0.0014885990705664177
17595,24.976,11586.164,1850,10,1534.082035,21905.83984,5.0,10.0,0.002155674647795422
18519,32.749,13739.417,1850,10,517.7984485000002,29067.64453,4.0,5.0,0.0023835800310886557
18134,33.767,14021.422,1850,10,673.3388573,30005.601560000014,3.0,7.0,0.0024082436146633346
18132,63.725,38930.623,1850,10,641.3956021,57625.15625,2.0,6.0,0.0016368862116591353
18136,75.065,59276.421,1850,10,125.9199615,66991.46094,1.0,1.0,0.0012663551330131756
18172,8.634,8442.749,1916,2,45.38124197,6644.818359000001,2.0,1.0,0.0010226526928610576
18171,42.122,7366.355,1916,2,339.0465494,38380.08203,1.0,2.0,0.005718160474210109
15462,12.571,11368.221,1980,2,419.8445831,10159.30176,2.0,1.0,0.001105801866448585
15488,20.105,11913.22,1980,2,508.9360438,16886.87891,1.0,2.0,0.0016876209790468069
10275,34.11,15596.305,2012,1,63.04204785,29157.79297,1.0,1.0,0.0021870564854944807
11587,4.9860000000000015,5645.136,2109,1,307.2789338,3361.2763670000004,1.0,1.0,0.0008832382426216129
12019,29.524,4727.522,2148,1,442.5449863,24631.26953,1.0,1.0,0.006245132227835217
18187,15.348,7509.299,2192,5,0.0,13073.91406,5.0,1.0,0.002043865878825707
18186,17.63,7913.788,2192,5,223.7603214,15181.37793,4.0,3.0,0.0022277574279220016
18190,24.243,16058.87,2192,5,0.0,21289.36523,3.0,1.0,0.0015096329941023247
18188,49.206,27623.652,2192,5,192.2331827,44356.37891,2.0,2.0,0.0017812995906551388
18189,123.239,26297.384,2192,5,584.9114622000002,110963.3359,1.0,4.0,0.004686359677449286
15170,9.498,6498.958000000001,2294,1,312.343375,7809.851562999997,1.0,1.0,0.001461465053320855
14757,6.0820000000000025,11373.985,2347,5,665.9476323,4569.92627,5.0,5.0,0.0005347290329642603
15122,6.238,5905.049,2347,5,531.7957494,4715.476074,4.0,3.0,0.0010563841214526757
15456,9.454,6481.352,2347,5,512.4772841,7718.118651999999,3.0,2.0,0.0014586462824423053
15458,13.708,13379.456,2347,5,574.3483622,11240.20313,2.0,4.0,0.0010245558563816049
15460,108.174,59333.695,2347,5,0.0,95218.51563,1.0,1.0,0.0018231461903729408
10820,5.787000000000001,5781.233,2371,1,157.7062213,4070.368164,1.0,1.0,0.0010009975380684364
12148,6.146,6318.518,2395,1,123.2159276,4385.442871,1.0,1.0,0.0009726964455905641
13875,13.241,8364.994,2569,1,410.3449823,11192.10156,1.0,1.0,0.001582906096525592
17155,6.874,11520.741000000002,2636,1,701.3008923,5343.506836,1.0,1.0,0.0005966630097838324
13139,6.266,5842.004,2655,1,181.3107705,4386.998047,1.0,1.0,0.0010725771498958235
15455,13.619000000000002,7142.071,2678,1,1040.028174,11160.58887,1.0,1.0,0.0019068698700979033
14068,5.937,5790.426,2810,2,979.0364875,4118.269043,2.0,2.0,0.0010253131634874533
14072,38.491,20497.757,2810,2,571.257066,34915.94922,1.0,1.0,0.0018778152165624755
16055,4.567,5583.794,2833,3,1425.311146,3041.673828,3.0,2.0,0.0008179026661800203
16461,5.818,799.943,2833,3,1444.041058,4167.849609000001,2.0,3.0,0.0072730182025469315
16059,36.204,6053.937,2833,3,1190.672489,31542.14063,1.0,1.0,0.005980240626884621
15503,51.094,8938.744,2938,1,0.0,46572.52344,1.0,1.0,0.005716015583397399
15495,17.142,25912.007,3005,1,0.0,15030.94824,1.0,1.0,0.0006615465949820097
13059,5.337999999999999,731.93,3209,4,240.7502901,3813.493652,4.0,2.0,0.007293047149317557
15163,5.414,10725.059,3209,4,329.4389856,3777.692871,3.0,4.0,0.0005047990878185379
15165,14.178,12228.983,3209,4,293.6225764,11613.41699,2.0,3.0,0.0011593768672341763
15164,18.984,3138.68,3209,4,35.72245031,16353.10645,1.0,1.0,0.006048402513158399
14767,6.433,5872.984,3243,2,96.38668721,4548.408203,2.0,1.0,0.0010953545931676298
14769,108.479,24031.807,3243,2,481.169246,99159.25781,1.0,2.0,0.00451397599855891
15961,5.431,5757.437,3247,10,930.813722,3946.386963,10.0,7.0,0.0009433016809389317
15963,6.53,5953.655,3247,10,1227.172315,4968.720215,9.0,9.0,0.001096805239806472
15959,10.661,6691.0859999999975,3247,10,1068.944018,8810.874023,8.0,8.0,0.0015933138506962852
15955,25.959,9422.611,3247,10,456.07220210000014,23042.62891,7.0,3.0,0.0027549688722159917
15960,51.784,14036.221,3247,10,490.3396558,47080.39453,6.0,4.0,0.0036893121018826934
15956,57.88800000000001,15127.013,3247,10,863.0541821,52763.625,5.0,5.0,0.0038267964733024297
15964,60.451,15585.214,3247,10,886.3800658,55150.9375,4.0,6.0,0.0038787404523287264
15965,62.372,27119.455,3247,10,1440.014445,56939.97656,3.0,10.0,0.0022998987258409137
15957,137.257,28901.189,3247,10,0.0,124529.6484,2.0,1.0,0.004749181772417737
15445,203.179,65612.38,3247,10,377.9948865,184968.9531,1.0,2.0,0.003096656454163071
14841,5.502999999999999,715.49,3316,4,1095.073154,3727.835938,4.0,3.0,0.007691232581866971
14840,7.216,5999.632,3316,4,1107.523578,5208.26709,3.0,4.0,0.0012027404347466646
14838,19.082,12968.466,3316,4,557.9470146000001,15466.25879,2.0,2.0,0.0014714153547536
14113,22.292,8501.305,3316,4,133.7697463,18242.45117,1.0,1.0,0.002622185652673325
13058,45.078,16807.676,3594,1,181.6104261,39272.79297,1.0,1.0,0.00268198887222719
