ClusterID,Cluster_RP,ND,FD,Size
238,2289,0.0,0.0,1
239,7308,63.5411066,311.70053010000004,3
240,3879,2.289518127,1054.681654,4
241,8199,83.89390192,1765.0541690000002,17
242,3900,127.21783710000001,127.21783710000001,1
244,10998,0.0,307.8102336,2
245,6737,148.73663269999997,456.64196680000003,2
247,10979,97.90674551,669.6015525,5
248,10995,278.41711560000005,278.41711560000005,1
249,8680,117.82519620000001,944.3983367999999,7
250,8687,0.0,676.8711095,5
251,6032,16.48699924,16.48699924,1
255,5630,128.7636922,475.08919110000005,5
269,122,0.0,0.0,1
279,125,0.0,0.0,1
285,165,0.0,0.0,1
286,12404,693.6604528,1264.597282,11
291,8348,893.0590663999999,996.8122147,3
297,5745,676.536221,1090.957963,5
309,12735,9.738341875,926.2657406999999,2
328,3559,34.42829629,34.42829629,1
331,6389,0.0,221.97911040000002,2
340,6033,0.0,990.8467954,5
341,139,0.0,0.0,1
343,974,0.0,545.1199909,5
350,217,51.89963251,852.9186066,14
365,1851,299.313069,792.9376796,4
368,59,17.49773753,17.49773753,1
369,16382,171.5695109,736.7579258999999,2
370,7833,0.0,492.07508370000005,3
372,6343,0.0,0.0,1
384,17194,0.0,0.0,1
395,16383,0.0,683.5984617,6
406,9679,2.9377125630000003,1505.531939,14
415,16041,170.1071496,510.38666500000005,3
416,11446,436.7163499,436.7163499,1
421,12015,0.0,519.2408044,3
431,12839,288.6730503,288.6730503,1
433,16476,0.0,1480.94835,16
438,17212,369.3914062,369.3914062,1
441,6739,0.0,140.9783244,3
445,18086,0.0,408.7445765,6
448,4978,152.7306755,152.7306755,1
449,15478,0.0,654.2468573,5
450,14013,13.80172289,1180.76197,8
451,17694,0.0,0.0,2
452,18497,86.4994037,86.4994037,1
453,14800,140.0316414,1207.306305,10
455,16076,0.0,0.0,1
458,15476,468.0828007,1268.947495,4
459,14728,89.40860237,625.923918,2
460,13489,17.31617166,52.58459053,2
461,12126,85.92107636,783.3941296,16
463,8223,0.0,1608.44165,22
465,6961,0.0,837.1538489,11
467,13584,287.3015375,510.4998518,3
471,10621,0.0,1414.742714,7
473,12194,616.6124283,2050.409798,16
488,14450,205.010643,1009.367742,3
490,1018,0.0,0.0,1
492,12840,229.9406951,229.9406951,1
493,16329,0.0,1158.144273,26
498,14970,0.0,2488.4158469999998,20
500,14031,205.8656332,852.1457139,5
502,17561,0.0,1205.047649,11
504,16441,85.57438829,220.43863109999998,3
506,15803,1155.115356,1155.115356,1
507,18178,0.0,135.58019040000002,3
510,6345,209.14229450000002,439.8582391,6
512,14029,103.41532600000001,103.41532600000001,1
514,13423,0.0,0.0,1
516,13935,0.0,931.7416127,10
518,12073,0.0,1563.012284,4
519,17104,0.0,331.6123672,4
522,14142,181.1848872,1268.810858,6
523,17067,0.0,1370.280456,13
524,12838,72.42094819,586.7727788999999,3
525,17829,0.0,1529.596656,17
526,14099,0.0,358.94419460000006,3
527,13069,15.89146589,178.6329446,4
528,5971,0.0,0.0,1
529,18137,551.7607077,1058.799511,5
530,16449,0.0,1216.8025599999999,8
534,524,0.0,96.35984888,4
535,14040,109.6586014,1056.78953,7
539,13586,231.39096659999998,231.39096659999998,1
540,12066,10.6648661,1334.877856,5
543,15449,93.38487112,241.50905260000002,2
553,12865,355.72641519999996,431.64313070000003,2
556,12757,0.0,18.63757692,2
561,13076,440.37330639999993,897.3403132999999,5
562,13460,0.0,841.4113974999999,9
564,981,0.0,2288.887767,16
568,13443,158.5306995,408.7106758,3
571,2294,210.08070370000002,771.693992,3
572,12339,59.292644200000005,215.49070849999998,3
573,14028,29.88236921,785.345059,5
574,14071,43.40542821,1621.31868,16
575,16070,992.1300131,2245.105391,6
576,2415,147.637277,147.637277,1
577,2296,297.60425380000004,297.60425380000004,1
579,18518,0.0,1613.981497,7
580,15816,57.83003893,612.9564247999999,6
584,11560,262.0062565,2567.635413,20
586,8173,124.01267150000001,124.01267150000001,1
587,7282,0.0,720.7022602999999,3
588,12335,86.53021663,467.8664433,2
593,14628,333.8453057,925.8422872000001,8
598,12863,36.28133375,168.3834855,2
604,16044,0.0,390.03072410000004,3
605,456,0.0,602.5053098,7
606,16188,213.7815628,213.7815628,1
625,432,0.0,139.0529895,2
631,10898,215.9916145,566.0294947000001,6
637,3372,0.0,143.6123894,2
640,23,0.0,456.08523899999994,4
647,17188,221.22173030000002,221.22173030000002,1
652,16327,31.12986566,2218.818905,14
655,13459,211.4060564,211.4060564,1
656,170,348.46200710000005,835.0826192000001,3
664,14523,0.0,1543.847709,29
665,3426,0.0,993.7207824999999,8
666,17529,0.0,1593.984136,18
667,12072,360.82975310000006,897.3584989,4
674,14452,0.0,1182.637377,18
675,15229,319.9388956,932.547942,4
677,1893,20.91095415,348.08475310000006,3
678,12871,88.35958235,88.35958235,1
679,13583,116.8929523,116.8929523,1
680,17058,0.0,1800.709628,8
682,9869,0.0,0.0,1
687,13442,97.48631,97.48631,1
690,12733,0.0,851.9841152999999,4
691,14810,78.6747553,1235.425265,12
697,18181,0.0,397.8458043,6
704,1467,130.9917811,225.9009193,3
713,10997,0.0,0.0,1
720,330,0.0,0.0,1
731,15886,0.0,629.2165327,7
742,9462,0.0,1715.247527,5
743,2276,0.0,910.0966381000001,10
746,5326,0.0,1740.648205,10
749,3228,254.9727514,254.9727514,1
751,9877,223.86128,223.86128,1
755,7730,0.0,400.06084849999996,6
759,7128,306.4278095,733.3161772000001,3
760,7852,1292.18254,1292.18254,1
761,2952,0.0,1686.219664,13
762,5241,386.8114823,406.953873,3
763,10648,0.0,131.9980031,2
764,3551,60.87992843,239.4672434,2
770,4964,25.63446451,782.0662391,2
771,7718,334.1749395,910.7081317,7
772,8869,276.6855637,760.754158,2
773,6642,126.3189888,337.2848275,4
775,9465,85.30083571,490.91371330000004,5
777,1634,163.303171,883.7167399,3
780,3706,1.260477162,1070.538427,6
782,10649,0.0,1468.027519,14
783,9622,179.1189169,179.1189169,1
784,2285,27.464812100000003,504.9068067,3
785,7111,318.41567119999996,1070.887956,4
786,3234,16.87342143,596.9382318,2
787,6791,0.0,0.0,1
788,5197,186.0553407,639.5661066,2
789,11038,44.43847814,1183.240489,4
790,10650,0.0,408.00473650000004,4
791,14822,0.0,714.1159079,5
793,10801,287.846088,287.846088,1
796,17136,216.0366745,325.3393255,2
797,5200,32.27550214,330.0363711,3
798,4698,77.77312656,77.77312656,1
799,5259,96.48546064,96.48546064,1
800,4579,0.0,885.9198913999999,6
802,5226,111.25135729999998,111.25135729999998,1
804,3509,538.6047883,956.5662079,3
805,14558,367.3160575,743.012611,3
806,764,0.0,0.0,1
807,3506,44.80376514,611.7857336,3
811,9628,27.46663478,27.46663478,1
813,5196,26.15067212,695.857002,2
814,3364,22.99950468,84.72023935,2
815,55,0.0,904.9768716,7
816,1856,174.4856145,174.4856145,1
817,6373,346.28175600000003,1122.575198,10
818,5228,0.0,1031.750578,8
819,304,0.0,815.9721549,3
820,11593,0.0,1766.8648329999999,10
821,9820,148.8499237,148.8499237,1
823,763,274.1938223,603.7880151,2
824,10293,235.4239653,375.412809,2
825,4893,0.0,1751.255355,17
826,7295,0.0,198.94391409999997,3
828,441,0.0,0.0,1
829,526,0.0,658.3019778,4
831,5406,0.0,0.0,1
832,4580,66.76431143,66.76431143,1
837,15366,0.0,1065.789456,9
838,11550,0.0,288.3456424,2
