ClusterID,Size,Sites,SedRed,AreaM2,SedRank,SedEps
11931,3,[13870 13873 13871],[ 4.473  5.192 27.765],[ 3050.362549  3718.431152 24683.25195 ],[2],[ 0.     5.192 27.765]
12451,1,[15430],[5.881],[4381.940918],[0],[0.]
12485,13,"[10825 11825 11457 11298 12498 10824 11453 11452 11827 10819 11456 11828
 11455]","[  4.882   4.92    5.354   5.96    6.703   6.842   6.897   8.614   9.525
  10.894  21.454  44.946 267.349]","[  3269.412109   3302.600342   3687.276856   4223.40332    4880.609375
   5004.056152   4532.710449   6572.247559   7378.809082   8589.884766
  17941.82813   38767.32813  234226.2344  ]",[ 7  8  9 10 11 12],"[  0.      0.      0.      0.      0.      0.      6.897   8.614   9.525
  10.894  21.454  44.946 267.349]"
12648,1,[15486],[20.722],[18404.34961],[0],[0.]
12726,2,[15169 14823],[17.184 21.122],[14698.44824 17795.37305],[1],[ 0.    21.122]
12835,1,[13869],[12.207],[9748.217773],[0],[0.]
12952,2,[15457 15459],[ 6.584 10.742],[4843.911621 8577.401367],[1],[ 0.    10.742]
12967,1,[13868],[15.901],[13023.10352],[0],[0.]
13034,2,[15450 15451],[7.95 8.08],[6008.430176 6123.995117],[1],[0.   8.08]
13111,7,[14831 14110 14108 14111 14112 14109 14107],[ 5.167  5.441  5.678  5.917 16.578 25.464 98.917],"[ 3437.540039  3674.530762  3878.98584   4085.278565 13300.375
 20987.17578  83705.50781 ]",[4 5 6],[ 0.     0.     0.     5.917 16.578 25.464 98.917]
13337,2,[16446 16447],[17.99  21.557],[15513.65332 18808.52734],[1],[ 0.    21.557]
13385,2,[11584 11585],[ 5.193 28.216],[ 3179.225342 21485.77344 ],[1],[ 0.    28.216]
13486,1,[15493],[10.013],[8314.331055],[0],[0.]
13605,19,"[17124 17606 17133 17598 17600 17127 17611 17128 17123 17586 17609 17601
 17608 17599 17590 17122 17597 17607 17126]","[  5.166   5.214   5.482   6.141   7.026   7.24    8.149  11.103  11.538
  14.158  14.174  18.455  18.692  18.798  29.113  31.459  48.234  50.784
 133.825]","[  3663.084717   3707.06665    3955.410156   4560.055664   5375.494141
   5571.80957    6409.765625   9129.02832    9529.439453  11941.7168
  11957.90332   15899.10156   16119.19043   16216.65625   25717.04297
  27879.33984   43339.62109   45864.81641  120207.8594  ]",[10 11 12 13 14 15 16 17 18],"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
  14.158  14.174  18.455  18.692  18.798  29.113  31.459  48.234  50.784
 133.825]"
13690,4,[17154 17153 17152 17151],[ 5.333  6.026 20.517 56.135],[ 3895.823486  4466.920898 18166.39844  50763.00781 ],[2 3],[ 0.     0.    20.517 56.135]
