Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Sedrank,bcr,bcr_epis,SedRed_epis
16321,32.411,11241.259,493,563.4144607,32518.12109,3,0.002883218,0.002883218,32.411
16332,79.082,15338.933,493,99.41572677,79918.69531,2,0.005155639,0.005155639,79.082
16329,80.837,15690.184,493,0,81748.78125,1,0.005152075,0.005152075,80.837
18147,4.609,606.849,498,1130.064622,3161.794678,6,0.00759497,0,0
18149,10.046,1565.428,498,31.09670423,8156.17041,5,0.006417414,0,0
17610,10.23,6597.937,498,810.470566,8325.547852,4,0.001550485,0,0
18152,11.991,11909.294,498,0,9947.779297,3,0.001006861,0.001006861,11.991
17602,22.874,3833.253,498,797.7052982,19971.96289,2,0.005967255,0.005967255,22.874
18516,33.843,15773.062,498,107.8685137,30078.72852,1,0.00214562,0.00214562,33.843
14032,5.739,6639.241,500,446.120402,4345.118652,5,0.000864406,0,0
14033,6.134,6343.75,500,609.9823177,4721.604492,4,0.000966936,0,0
14031,7.986,7487.65,500,205.8656332,6593.985352,3,0.001066556,0.001066556,7.986
15336,52.767,18702.38,500,852.1457139,48146.76172,2,0.002821406,0.002821406,52.767
14034,80.058,26134.455,500,584.6084245,74261.22656,1,0.003063312,0.003063312,80.058
17552,5.952,10955.894,502,203.7455721,4980.386719,11,0.000543269,0,0
18116,9.048,1577.069,502,980.1466888,8216.823242,10,0.005737225,0,0
17560,10.086,1786.715,502,622.6176199,9309.116211,9,0.005644997,0,0
18115,11.628,2094.748,502,678.8740677,10914.0293,8,0.005551026,0,0
17553,12.725,12314.688,502,363.5488732,12059.95313,7,0.001033319,0,0
19261,12.885,2346.84,502,660.2030048,12227.47461,6,0.005490362,0.005490362,12.885
17555,12.957,18501.382,502,383.2557811,12302.98535,5,0.000700326,0.000700326,12.957
18118,16.183,9712.995,502,1205.047649,15675.60742,4,0.001666118,0.001666118,16.183
17559,20.35,3845.753,502,352.0776607,20037.08984,3,0.005291551,0.005291551,20.35
17565,45.072,28794.863,502,162.4185612,45882.25391,2,0.001565279,0.001565279,45.072
17561,122.49,65633.29,502,0,123681.6172,1,0.001866279,0.001866279,122.49
15464,5.755,6225.492,504,139.9663879,4076.035889,3,0.000924425,0,0
16441,17.77,12669.136,504,85.57438829,14802.12988,2,0.001402621,0.001402621,17.77
15463,43.687,24669.409,504,220.4386311,37963.74609,1,0.001770898,0.001770898,43.687
15803,457.924,181425.673,506,1155.115356,441142.625,1,0.002524031,0.002524031,457.924
18175,111.515,24652.063,507,135.5801904,102390.9063,3,0.004523557,0,0
17190,218.518,48592.724,507,119.3421198,201075.2813,2,0.004496928,0.004496928,218.518
18178,378.109,109752.923,507,0,350507,1,0.003445093,0.003445093,378.109
13585,5.847,6265.956,510,384.2538901,4448.253418,1,0.000933138,0.000933138,5.847
14029,11.626,7881.395,512,103.415326,10124.50684,1,0.00147512,0.00147512,11.626
13933,5.437,5850.71,516,8.750715434,4432.354981,9,0.000929289,0,0
13938,7.822,11100.066,516,816.0574276,5731.549805,8,0.00070468,0,0
13235,8.965,6556.927,516,931.7416127,8111.877441,7,0.001367256,0,0
13935,9.313,6626.527,516,0,8474.510742,6,0.001405412,0,0
13236,11.018,6967.752,516,802.4054738,10252.35449,5,0.001581285,0.001581285,11.018
13238,22.907,9348.504,516,436.8889694,22656.51563,4,0.002450339,0.002450339,22.907
13932,32.459,6261.704,516,239.2023402,32624.64453,3,0.005183733,0.005183733,32.459
13937,39.926,12757.582,516,3.656933827,40418.44531,2,0.00312959,0.00312959,39.926
13939,84.602,18675.633,516,439.1225361,71252.59375,1,0.004530074,0.004530074,84.602
11535,3.258,5579.521,518,1294.229771,3019.410889,4,0.000583921,0,0
11534,11.45,6826.745,518,1563.012284,9517.680664,3,0.001677227,0,0
12071,37.837,11910.474,518,20.28979357,36004.85547,2,0.003176784,0.003176784,37.837
12073,210.995,88368.631,518,0,194477.3906,1,0.002387669,0.002387669,210.995
17104,5.49,7315.581,519,0,4469.282715,4,0.000750453,0,0
17546,6.244,6579.326,519,275.6037704,5252.898926,3,0.000949033,0,0
17548,7.356,11230.005,519,331.6123672,6408.556152,2,0.000655031,0.000655031,7.356
17550,99.623,70764.19,519,0,101114.1172,1,0.001407817,0.001407817,99.623
14138,4.386,601.578,522,633.0201619,3134.332275,6,0.007290825,0,0
14137,5.188,5748.168,522,1268.810858,3898.092285,5,0.000902548,0,0
14142,7.554,1197.341,522,181.1848872,6238.367676,4,0.00630898,0,0
14141,16.81,7921.727,522,747.5956403,15222.73926,3,0.002122012,0.002122012,16.81
14140,34.998,11324.612,522,747.5562631,32952.40625,2,0.003090437,0.003090437,34.998
14139,37.827,6687.782,522,621.872237,34844.58984,1,0.005656135,0.005656135,37.827
17059,4.417,5642.363,523,374.2295089,3346.830322,13,0.000782828,0,0
17071,5.75,12395.017,523,1370.280456,4622.601074,12,0.000463896,0,0
17234,6.309,6018.584,523,480.2664176,5307.011231,11,0.001048253,0,0
17061,6.325,13336.749,523,174.3519786,5323.15625,10,0.000474254,0,0
17237,9.888,13608.897,523,997.5234607,8815.430664,9,0.000726583,0,0
17233,10.808,6913.286,523,825.9202043,9968.576172,8,0.001563367,0,0
17066,12.181,19560.29,523,776.4392157,11139.39258,7,0.000622741,0.000622741,12.181
17065,13.326,7360.628,523,810.921787,12299.3125,6,0.001810443,0.001810443,13.326
17069,24.248,14485.825,523,1116.158729,23371.98242,5,0.001673912,0.001673912,24.248
17070,29.236,18547.949,523,1347.984925,28430.8125,4,0.001576239,0.001576239,29.236
16309,35.563,6855.844,523,1323.880747,35720.22266,3,0.005187253,0.005187253,35.563
16310,43.035,18325.431,523,675.3881298,43377.04688,2,0.002348376,0.002348376,43.035
17067,569.585,243959.173,523,0,583704.0625,1,0.002334755,0.002334755,569.585
14021,13.779,8473.486,524,586.7727789,12204.96582,3,0.001626131,0,0
12299,21.074,10486.198,524,194.9892592,19277.13867,2,0.002009689,0.002009689,21.074
12838,30.744,15810.046,524,72.42094819,28654.06445,1,0.001944586,0.001944586,30.744
17832,4.74,6104.277,525,408.8052879,3672.867432,17,0.000776505,0,0
17029,5.48,12793.735,525,1529.596656,4456.880371,16,0.000428335,0,0
17884,6.493,11649.231,525,747.5864852,5485.407715,15,0.000557376,0,0
17815,6.51,1060.729,525,724.4431959,5526.597656,14,0.006137289,0,0
17817,6.939,6795.506,525,984.5244411,5971.923828,13,0.001021116,0,0
17821,7.165,6850.068,525,442.3129974,6153.398926,12,0.001045975,0,0
17881,7.38,12542.487,525,142.9786381,6464.131348,11,0.0005884,0,0
17816,9.141,7483.08,525,686.4157403,8258.820313,10,0.001221556,0,0
17831,10.518,12888.068,525,344.6086351,9605.827148,9,0.000816104,0.000816104,10.518
17835,15.263,7793.481,525,587.1048252,14554.55566,8,0.001958432,0.001958432,15.263
17826,15.479,11050.051,525,31.22621835,14778.42188,7,0.001400808,0.001400808,15.479
17883,16.726,14831.035,525,401.6788267,16068.21094,6,0.00112777,0.00112777,16.726
17030,17.216,10004.47,525,1421.545985,16645.0625,5,0.001720831,0.001720831,17.216
17830,18.673,3470.554,525,405.858389,18082.23047,4,0.005380409,0.005380409,18.673
17818,24.916,27371.765,525,1242.149986,24642.57031,3,0.000910281,0.000910281,24.916
17829,25.095,4724.975,525,0,24618.00195,2,0.005311139,0.005311139,25.095
17047,199.642,187915.11,525,1376.725013,202740.4219,1,0.001062405,0.001062405,199.642
14483,5.114,5650.991,526,358.9441946,3391.78418,3,0.000904974,0,0
14482,11.396,6692.963,526,183.695901,8820.654297,2,0.001702684,0.001702684,11.396
14099,527.336,140388.527,526,0,458152.9063,1,0.003756261,0.003756261,527.336
13135,6.372,5880.081,527,22.06334004,4585.386231,4,0.001083659,0,0
13140,7.725,11607.372,527,171.8209736,5647.905762,3,0.000665525,0,0
13069,13.152,8182.351,527,15.89146589,10584.62402,2,0.001607362,0.001607362,13.152
13137,60.909,19923.582,527,178.6329446,51703.71094,1,0.003057131,0.003057131,60.909
5971,5.437,814.867,528,0,4245.609863,1,0.006672254,0.006672254,5.437
18131,5.031,6063.718,529,854.1687129,3537.966065,5,0.000829689,0,0
18137,11.338,8825.635,529,551.7607077,9344.853516,4,0.001284667,0,0
18442,22.477,26551.531,529,695.5344003,19604.10742,3,0.000846543,0.000846543,22.477
18130,25.012,26014.717,529,1058.799511,21939.54883,2,0.000961456,0.000961456,25.012
18441,85.813,58210.648,529,900.1311355,76911.03906,1,0.00147418,0.00147418,85.813
16442,5.438,727.928,530,357.9537581,3792.63794,8,0.007470519,0,0
16453,5.462,732.07,530,160.7441098,3814.219971,7,0.007461035,0,0
16450,6.471,904.825,530,487.2584936,4714.308106,6,0.007151659,0,0
16443,7.396,1063.358,530,484.3277159,5540.291992,5,0.006955325,0,0
16445,8.037,1173.19,530,606.3800091,6112.540039,4,0.006850553,0.006850553,8.037
16454,81.872,26282.2,530,1216.80256,70785.42969,3,0.003115112,0.003115112,81.872
16449,592.169,564348.154,530,0,526821.5,2,0.001049297,0.001049297,592.169
16458,1347.437,1270662.553,530,43.75533844,1214686.375,1,0.001060421,0.001060421,1347.437
14023,6.501,6478.774,534,63.22013874,5196.04541,3,0.001003431,0,0
15375,24.895,11598.919,534,45.42413101,23186.96094,2,0.002146321,0.002146321,24.895
12841,39.187,15247.759,534,96.35984888,36008.08203,1,0.002570017,0.002570017,39.187
14706,5.512,6233.562,535,694.7008603,4334.429688,7,0.000884246,0,0
14680,5.681,11281.848,535,298.7570582,4504.094727,6,0.000503552,0,0
14681,5.768,5881.284,535,311.0040076,4591.652344,5,0.000980738,0,0
14708,6.742,6584.713,535,1056.78953,5568.289063,4,0.001023887,0.001023887,6.742
14707,17.75,16264.996,535,637.4551691,16606.55273,3,0.001091301,0.001091301,17.75
14040,130.426,58125.491,535,109.6586014,127565.6875,2,0.002243869,0.002243869,130.426
14684,173.453,74517.564,535,371.4704144,171015.9688,1,0.002327679,0.002327679,173.453
13586,51.545,18369.67,539,231.3909666,46977.69922,1,0.002805984,0.002805984,51.545
11533,4.584,5659.732,540,1334.877856,3437.326904,5,0.000809932,0,0
4594,6.012,10849.626,540,456.9396038,4426.708984,4,0.00055412,0,0
11536,9.718,6657.095,540,1117.782384,8633.773438,3,0.001459796,0.001459796,9.718
