Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
15949,18.338,3061.79,1344,1249.785757,15952.49609,4,3
15943,20.098,8375.972,1344,645.6892835,17589.44336,4,2
15953,35.146,6063.575,1344,1520.556525,31592.35352,4,1
16418,7.214,6075.768,1587,882.2591297,5604.952148,8,8
16424,13.208,7161.73,1587,281.2021421,11263.01367,8,7
16423,19.987,3380.959,1587,215.6065644,17615.42383,8,6
16421,22.025,3747.451,1587,197.3791227,19524.91602,8,5
17125,29.019,12294.495,1587,1349.019745,25631.04492,8,4
16395,53.821,14400.163,1587,1586.806404,48976.59766,8,3
16419,94.369,21437.949,1587,1239.425489,85644.77344,8,2
16422,178.822,36562.64,1587,166.1285561,164447.2344,8,1
13879,25.322,4142.565,1622,452.1705662,21583.5332,1,1
18127,5.301,6138.616,1850,1370.965431,3787.08252,10,10
18517,5.541,6640.723,1850,428.4399305,4007.783691,10,9
18129,8.625,7058.568,1850,1186.26869,6846.878906,10,8
18133,10.427,7557.657,1850,345.0024436,8506.866211,10,7
18521,11.827,7945.054,1850,415.3870941,9795.363281,10,6
17595,24.976,11586.164,1850,1534.082035,21905.83984,10,5
18519,32.749,13739.417,1850,517.7984485,29067.64453,10,4
18134,33.767,14021.422,1850,673.3388573,30005.60156,10,3
18132,63.725,38930.623,1850,641.3956021,57625.15625,10,2
18136,75.065,59276.421,1850,125.9199615,66991.46094,10,1
18172,8.634,8442.749,1916,45.38124197,6644.818359,2,2
18171,42.122,7366.355,1916,339.0465494,38380.08203,2,1
15462,12.571,11368.221,1980,419.8445831,10159.30176,2,2
15488,20.105,11913.22,1980,508.9360438,16886.87891,2,1
10275,34.11,15596.305,2012,63.04204785,29157.79297,1,1
11587,4.986,5645.136,2109,307.2789338,3361.276367,1,1
12019,29.524,4727.522,2148,442.5449863,24631.26953,1,1
18187,15.348,7509.299,2192,0,13073.91406,5,5
18186,17.63,7913.788,2192,223.7603214,15181.37793,5,4
18190,24.243,16058.87,2192,0,21289.36523,5,3
18188,49.206,27623.652,2192,192.2331827,44356.37891,5,2
18189,123.239,26297.384,2192,584.9114622,110963.3359,5,1
15170,9.498,6498.958,2294,312.343375,7809.851563,1,1
14757,6.082,11373.985,2347,665.9476323,4569.92627,5,5
15122,6.238,5905.049,2347,531.7957494,4715.476074,5,4
15456,9.454,6481.352,2347,512.4772841,7718.118652,5,3
15458,13.708,13379.456,2347,574.3483622,11240.20313,5,2
15460,108.174,59333.695,2347,0,95218.51563,5,1
10820,5.787,5781.233,2371,157.7062213,4070.368164,1,1
12148,6.146,6318.518,2395,123.2159276,4385.442871,1,1
13875,13.241,8364.994,2569,410.3449823,11192.10156,1,1
17155,6.874,11520.741,2636,701.3008923,5343.506836,1,1
13139,6.266,5842.004,2655,181.3107705,4386.998047,1,1
15455,13.619,7142.071,2678,1040.028174,11160.58887,1,1
